Job_Title,Description
Python Engineer,"Write high-quality, well-designed and well-tested Python software. Collaborate proactively with a globally distributed team. Display technical leadership at our company and in our communities. Debug issues and produce high-quality code to fix them."
"Python and Kubernetes Software Engineer - Data, AI/ML and Analytics","Develop your understanding of the entire Linux stack, from kernel, networking, and storage, to the application layer. Design, build and maintain solutions that will be deployed on public and private clouds and local workstations"
Senior Software Engineer - Python - Django,"Develop efficient and scalable software components for a flagship product using Python, Django, and GraphQL. Collaborate on product design, participate in sprint planning, and provide thought leadership on emerging technologies."
"Senior Software Engineer - Python, MongoDB","Design, build, and manage a fully managed MongoDB solution based on Juju. Contribute to the development of a reliable and secure way to deploy and operate MongoDB on various platforms. Work with a small team and have a significant impact on the..."
Software Engineer - Python and K8s,"Work in Python to design and deliver open source software operations code, work across the entire Linux stack, from kernel, networking, storage, to applications, and shape high quality open source monitoring and alerting infrastructure."
"Senior Kernel Developer, KernelCare","Develop Linux Kernels and patches with a cyber security focus. Update existing kernels, support existing functionality, and implement new features. Develop and support Python and Bash scripts for task automation."
"Full Stack Developer, CORE",Develop scalable and robust applications using Node.js and TypeScript. Optimize database schemas using PostgreSQL. Collaborate with frontend team to integrate server-side logic and implement RESTful APIs. Utilize Git for code versioning and adhere to..
Advanced AI Trainer Software Developer (Full-Stack Expert),"Train, evaluate, and test AI conversation skills, generate examples of ideal conversations, collect sources and distinguish between fact, context, and behavior patterns. Entry-level position with flexible hours and room for advancement."
Advanced AI Trainer Software Developer (Full-Stack Expert),"Train, evaluate, and test an AI conversation partner by generating examples of ideal conversations, collecting sources, discerning accuracy, and recommending improvements. Entry-level role with flexible hours and room for advancement."
Full Stack Developer,Seeking a full stack developer to work remotely and assist with editing a single page SPA web app created with React.js. Responsibilities include implementing new features by writing code and testing the front and a back end (server). 
Front-end Developer,"Seeking an experienced developer to join a remote engineering team and assist with building quality tools and products. Advanced skills in CSS, JavaScript and the ability to inspect bottlenecks in browser performance required. Work remotely. "
ReactJS Developer,"Seeking an experienced ReactJS Developer to participate in app development and be responsible for designing, developing and communicating with backend developers. Work a minimum of 50% in the CET timezone. Work remotely. "
